name,area,website,logo,description
"凯普生物","医疗健康","http://www.hybribio.cn","/images/cases/凯普生物.png","宫颈癌生物基因检测领域的市场领导者。宫颈癌是仅次于乳腺癌的第二大妇科肿瘤，国家对其检测预防的扶持力度不断加大，中国各地已陆续开展筛查宫颈癌的高危型人乳头瘤病毒分型检测；公司是中国宫颈癌防治工程的战略合作伙伴，并与国家疾病预防控制中心及中国宫颈癌防治工程进行全国性的深度合作；公司产品拥有10项中美专利，已在全国超过数百家医院建立了可高效扩张的销售和服务平台，未来高速成长可期。公司荣获“2012中国医疗健康产业最具投资价值企业TOP10”殊荣。"
"康泰生物","医疗健康","http://www.biokangtai.com/docc","/images/cases/康泰生物.png","国内疫苗行业的龙头公司。基于公司全资子公司北京民海生物科技有限公司（http://www.biominhai.com）强大的研发平台，公司20余年的行业经验和工艺生产及质量检测水平，随着国内首创的无细胞百白破b型流感嗜血杆菌联合疫苗、成人60微克乙肝疫苗、肺炎疫苗、人二倍体狂犬疫苗等系列化新产品的上市，公司具有爆发性的成长空间和增长潜力。"
"德易东方","医疗健康","http://www.deyidongfang.com","/images/cases/德易东方.png","公司为国内最贴近临床应用的基因测序服务公司，已将多种实验室高端医学诊断技术转化为临床应用项目，利用基因二代测序技术，可一次性检测分析4000多种遗传病，准确地协助医生进行临床诊断，已与国内多家著名医院开展业务合作；其国内首创的疾病基因组数据库正不断扩充和完善。"
"赛安生物","医疗健康","http://www.shineschina.com","/images/cases/赛安生物.png","公司为国内践行个体化治疗与精准医疗的先行者之一，利用多样化的检测技术平台提供从肿瘤早期筛查、个体化用药筛选、疗效判定、愈后复发、放疗靶标、生物免疫治疗等覆盖整个过程的解决方案，在产品开发和市场建设方面都有基础，并以共建中心模式协助各大医院建立完善的肿瘤分子医学诊断中心。公司在肿瘤分子诊断领域，是提供最多检测平台、检测指标的单位之一，获得Frost&Sullivan公司颁发的中国体外诊断行业的2014年度最佳实践奖。&Sullivan公司颁发的中国体外诊断行业的2014年度最佳实践奖。  "
"爱德牛业","医疗健康","http://www.indlifetech.com.cn","/images/cases/爱德牛业.png","高产奶牛生物胚胎移植领域的龙头公司。随着中国居民可支配收入的快速增加，国内牛奶消费进入快速增长阶段，引入高产加系荷斯坦奶牛对提升国内奶牛单产具有极大的意义；公司是世界上最大的以胚胎移植的方法进行奶牛和肉牛繁育改良中心，也是目前在中国奶牛繁育市场唯一一家能够进行高品质胚胎技术产品产供销一条龙服务的企业；公司采用现代生物育种技术，可快速改良和替代我国大部分低产奶牛；通过独特的小区托管模式快速扩张产能，获得爆发式增长机会；公司获得清科“2010年中国最具投资价值企业50强”称号。"
"探路者（300005）","新的消费模式","http://www.toread.com.cn","/images/cases/探路者.png","公司为国内最大的户外运动用品品牌零售商；拥有中高端“Discovery”、中端主品牌“探路者”及电子商务品牌“ACANU”三大品牌，标准化门店1100余家；产品涵盖户外服装、户外功能鞋和户外装备三大系列。在国内户外运动产品行业年均增长40%的背景下，公司依托于品牌建设和连锁扩张，获得高速增长。公司荣获2011年度“创业板上市公司价值二十强”、“2011年度金牛最佳创业成长公司”。"
"东方时尚","新的消费模式","http://www.dfss.com.cn","/images/cases/东方时尚.png","公司为汽车驾驶培训行业的龙头企业。拥有亚洲规模最大、设施最先进的校区；其所在行业增长稳定，极具成长空间，而公司已建立成熟规范的管理与运营模式，通过复制可完成全国范围内的扩张；公司获得“2011年中国快公司TOP10企业”、“2011年度中国教育新领军人物、行业领军成长10强”、“第十届中国成长百强榜单第4名”等多个荣誉称号。 "
"骏梦游戏","新的消费模式","http://www.thedream.cc","/images/cases/骏梦游戏.png","公司专注于网页游戏、社交游戏以及移动互联网游戏等跨平台市场，拥有熟练掌握Flash、Unity3D以及Html5等多种网页游戏核心开发技术并具备丰富运营经验的优秀团队，是国内以自主研发为核心并兼具游戏运营竞争力的一线企业。目前公司拥有超过5000万的高粘度、高付费偏向的自有注册用户资源，在动漫题材的游戏用户市场雄踞第一。公司未来的战略目标是通过强IP战略的实施，不断向市场推出重量级的游戏产品，成为网络游戏行业的领导企业。"
"盛世骄阳","新的消费模式","http://www.sun-tv.com.cn","/images/cases/盛世骄阳.png","公司是国内领先的新媒体影视节目整合、发行和运营公司,是专门面向视听新媒体市场的数字版权节目集成交易服务商，是目前国内唯一覆盖所有数字媒体渠道的版权发行商。公司拥有目前国内规模最大的精品长销剧独家数字版权节目库，其B2B发行覆盖90%主流网络视频网站以及50%的数字电视发行渠道。"
"创新科技","新的消费模式","http://www.hncxin.com","/images/cases/创新科技.png","农业产业化的国家重点企业。具备独特的技术及知识产权；自主研发的无抗生素生物饲料能够有效地解决肉类产品的抗生素积聚难题，符合食品健康安全的消费大趋势；有望在市场中获取爆发式增长。"
